,"Serial
Number",Sv2 Field Name,"Enquiry Field Name
(Customer Spec)","Enquiry Field Value
(Customer Spec)",Units,"Mapping
Category","Field
Requirement",Logic,"Value for
Sv2 Field","Service
Dependency","Sector
Dependency","Similar Field
Terminologies","Similar Field
Values","SV2 Spec
Row Number","Sv2 Spec
Field Name","Notes and
Validations","Additional
Information"
0,1,Tag No,Tag No. (Row 1),"1803-FV-10401 | 1803-FV-1104 | 1803-FV-
1403",—,Direct,Mandatory,"Copy tag number verbatim from top of Enquiry DS
(Row 1, left column)","1803-FV-10401 | 1803-FV-1104 | 1803-
FV-1403",No,No,"Tag Number; Instrument Tag; Tag
ID; FV Tag",FV-XXXX; CV-XXXX; HCV-XXXX,Header,Tag No,"Tag number must match the P&ID reference in
Row 1. Format: Plant-Instrument-Number.",
1,2,Service,Service (Row 2),"SUSPECT CONDT PUMPS(P-606A/B)
MCF | LP STEAM TO E-101 PREHEATER |
RCSP HOPPER R-104 AERATION PLANT
AIR",—,Direct,Mandatory,"Copy service description verbatim from Row 2 of
Enquiry DS","SUSPECT CONDT PUMPS(P-606A/B)
MCF | LP STEAM TO E-101
PREHEATER | RCSP HOPPER R-104
AERATION PLANT AIR",No,No,"Service Description; Valve Duty;
Application",—,Row 1,Service,"May include equipment tag number in
parentheses. Carry forward exactly as written.",
2,3,Fluid Name,Process Fluid (Row 14),"SUSPECT LP CONDENSATE | LP Steam |
PLANT AIR",—,Direct,Mandatory,Copy fluid name from Row 14 of Enquiry DS,"SUSPECT LP CONDENSATE | Steam |
Air",Yes,No,"Process Fluid; Fluid; Medium;
Service Fluid","Water; Condensate; Steam; LP
Steam; Plant Air; Nitrogen;
Propylene",Row 2,Fluid Name,"Fluid name determines the sizing equation set
(liquid, steam, or gas). Cross-check with Row 15
(Upstream Condition) for consistency.",
3,4,Fluid Phase,Upstream Condition (Row 15),Water | Steam | Gas/Vapor,—,Derived,Mandatory,"Map Row 15 value to Sv2 dropdown:
Water/Liquid/Condensate → Liquid; Steam/LP
Steam/HP Steam → Steam; Gas/Vapor/Air/Nitrogen
→ Gas",Liquid | Steam | Gas,Yes,No,State; Phase; Fluid State; Condition,"Liquid; Vapour; Gas; Steam; Two-
Phase",Row 3,Fluid Phase,"This selection determines the entire sizing
equation path in Solutioneer. An incorrect phase
will give a completely wrong Cv result.",
4,5,Inlet Pipe Size/Sch,"Line Size and Schedule — Inlet (Row
11)",3 in STD | 12 in XS | 6 in STD,"in /
Schedule",Direct,Mandatory,"Extract inlet size and schedule from Row 11 Inlet
column. Parse leading number as nominal size;
schedule follows (STD, XS, 40S etc.)",3 in/STD | 12 in/XS | 6 in/STD,No,No,"Inlet Line Size; Upstream Line
Size; Inlet Pipe Class; NPS","1 in; 2 in; 3 in; 4 in; 6 in; 8 in; 12 in;
STD; XS; SCH 40; SCH 80",Row 4,Inlet Pipe Size/Sch,"Line size also embedded in Row 3 Line Number
tag (e.g. '3""-CL-1803...' → 3 in). Use Row 11 as
primary source.",
5,6,Outlet Pipe Size/Sch,"Line Size and Schedule — Outlet
(Row 11)",3 in STD | 12 in XS | 6 in STD,"in /
Schedule",Direct,Mandatory,"Extract outlet size and schedule from Row 11 Outlet
column. Usually same as inlet unless expander is
fitted.",3 in/STD | 12 in/XS | 6 in/STD,No,No,"Outlet Line Size; Downstream Pipe
Size",Same as inlet in most cases,Row 5,Outlet Pipe Size/Sch,"If Outlet size differs from Inlet size, an
expander/reducer is required. Flag for engineer
review.",
6,7,Design Pressure (MAX),"Design Pressure / Temperature (Row
27)",12 kgf/cm²-g | 8 kgf/cm²-g | 10 kgf/cm²-g,kgf/cm²-g,Direct,Mandatory,"Extract maximum design pressure from Row 27 of
Enquiry DS. This is the higher of the two values
stated.",12 kgf/cm²-g | 8 kgf/cm²-g | 10 kgf/cm²-g,No,No,"Design Pressure; Max Design
Pressure; DP MAX; MAWP",—,Row 6,Design Temp(MAX/MIN),"Design pressure determines the ASME pressure
class (150#, 300#, 600# etc.) per ASME B16.34 P-
T tables.",
7,8,Design Pressure (MIN),"Design Pressure / Temperature (Row
27)",FV kgf/cm²-g | FV kgf/cm²-g | — (not stated),kgf/cm²-g,Direct,Mandatory,"Extract minimum design pressure from Row 27. FV
= Full Vacuum = -1.033 kgf/cm²-a (or 0 absolute).
Carry as 'FV' text if shown.",FV | FV | —,No,No,"Min Design Pressure; Full Vacuum;
FV; MDMP",FV; Full Vacuum; -1 barg; Vacuum,Row 7,Design Pressure(MAX/MIN),"FV = Full Vacuum as design condition. See DS
Page 2 process notes. Confirm with engineer
before populating Sv2.",
8,9,Design Temp (MAX),"Design Pressure / Temperature (Row
27)",150 °C | 220 °C | 65 °C,°C,Direct,Mandatory,"Extract maximum design temperature from Row 27
of Enquiry DS.",150 °C | 220 °C | 65 °C,No,No,"Design Temperature; Max Temp;
MADT; MDMT (max)",—,Row 7,Design Temp(MAX/MIN),"Determines material grade selection (e.g. need
for low-temp grades below -29°C, or high-temp
grades above 230°C).",
9,10,Design Temp (MIN) / MDMT,"Ambient Temperature (Row 5) /
Process Notes Page 2","4.4 °C (MDMT from process notes all 3
tags)",°C,Derived,Mandatory,"MDMT (Minimum Design Metal Temperature) stated
in DS Page 2 Process Notes. Not the same as
ambient temperature (Row 5). Extract from notes
text.",4.4 °C | 4.4 °C | 4.4 °C,No,No,"MDMT; Min Design Metal
Temperature; Low Temp; Cold
Design Temp",—,Row 7,Design Temp(MAX/MIN),"MDMT drives low-temperature material
requirements (impact testing). Located in Page 2
Process Notes, not Row 5.",
